job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
Assistant Manager ( 400$-600$ ),Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Middle,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Assistant/Secretary,Food & Beverages,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree in English, Management, Accounting, Finance, or related field.
• At least 3 years’ experience in a similar role.
• Stable work history.
• Must be self-motivated and possess the desire for self-development.
• Have the ability to work autonomously when required.
• Be a team player.
• Be dedicated to customer satisfaction and a great customer experience.
• Experience as an assistant store manager or with retail store management.
Competitive and Benefit 
1. Base Salary 400$-600$
2. Incentive of KPIs
3. Annual salary adjustment 
4. Incentive of award
5. Incentive of promotion adjustment
6. Allowance Phone 
7. Health and accident insurance
8. Work time 44h/1w (8am-5pm)
9. Holiday and public holiday
10. Training and Development skill
11. Annual trip
12. Annual party 
13. Season party
14. Annual leave 
15. Sick leave 
16. Maternity leave 
17. Special leave 
18. Staff birthday
19. Other benefit 

* Our Contact:
For more information detail, please go to: www.gbs.com.kh 
Interested applicants shal..."
Sales Executive ( 300$-550$ ),Publish Date：Sep-09-2022,Closing Date：Sep-14-2022,Middle,~,1,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Food & Beverages,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor degree in Business administration majoring in marketing or business-related field.
• At least one-year experience in position sale or barista is prefer.
• Be able to work under pressure for sale target.
• Communication skills in speaking/Writing English.
• Knowledge of computer literacy (Microsoft office word, Power point, Excel)
• Good interpersonal communication skills and motivation skill.
• Very patience, Flexible, Honest and Friendly.

Competitive and Benefit 

1. Base Salary 300$-550$
2. Income of Commission 250$-750$ per month
3. Incentive of KPIs
4. Incentive of award
5. Incentive of promotion adjustment
6. Annual salary adjustment 
7. Phone Allowance
8. Gasoline Allowance
9. Health and accident insurance
10. Work time 44h/1w (8am-5pm)
11. Holiday and public holiday
12. Training and Development skill
13. Annual trip
14. Annual party 
15. Season party
16. Annual leave 
17. Sick leave 
18. Maternity leave 
19. Special leave 
20. Staff birthday
21. Other benefit 

* Our Contact:

For more i..."
HR and Administration Manager,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Senior,12,1,Negotiable,~,Age Unlimited,Full Time,Human Resource,Property Development/Management,Master Degree,English-- Excellent,Phnom Penh,"• Independent and motivated;• A recognized Master’s Degree, specializing in Human Resource Management or related discipline.• Minimum 12 years of relevant working experience, out of which 3 years should be in generalist role, in a similar industry; • Minimum 5 years’ of relevant experience, ideally the last few years on a strategic role implementing HR policies and procedures and is hands on in payroll, training, recruitment, performance appraisal, hr branding and possess sound working knowledge of statutory legislation and other local statutory requirements;• Good track record in HR processes, policies and HR Management Systems;• At least 5 years in supervisory role.• Strong creative, strong strategic, analytical, strong organizational and time management skills;• Demonstration of creativity and ability to assess and take calculated risks;• Dynamic and has experience in dealing with crisis management;• Able to work in a highly matrix and multicultural environment;• Strong oral and written communications s..."
Call Center Agents,Publish Date：Aug-26-2022,Closing Date：Sep-25-2022,Entry Level,~,~,Negotiable,~,Age Unlimited,Full Time,Customer Service,Information Technology,Associate Degree,English-- Good,Phnom Penh,"● University student
● Fresh graduated student
● Good communication skill
● Minimal English knowledge
● Ability to work independently with positive attitude
● Ability to follow instructions
● Good computer skills
● Ability to handle multiple tasks

** Benefits:
● Good start of working experience for university and fresh graduate students
● Competitive salary plus high incentive packages
● Training allowance
● NSSF provision
● Seniority payment offer
● Referral Bonus
● Employee of the month
● Career advancement

Interested candidates should submit their CVs by email:
To : hr.ymr.office@gmail.com
● Address : Aquation Diamond Island, 540 Koh Pich St, Phnom Penh, Cambodia.
● Contact Number: 017 809 670"
Warehouse Manager,Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Senior,5,~,Negotiable,Male/Female,Age Unlimited,Full Time,Logistics/Shipping/Deliver/Warehouse,Architecture/Building/Construction,Bachelor Degree,English-- Good,Phnom Penh,"- Education: Bachelor degree or Master degree 
- Skill: Management, Accounting
- Experience: 5-10 years of experiences in warehouse warehouse manager in Construction field
- Computer Skill: Ms. Office- intermediate level or up, internet, email 
- Language Skill: Good in verbal and written English

Personal Quality 
- Hard working and honesty, flexible, high commitment and willing to work in team.
- Good communication.
- Positive thinking.
- Be able to work under pressure with high responsibility.

Interested candidates are invited to apply by sending CV, cover letter with relevant supported documents and a recent photograph before 01st October 2022 through below address:

Standard Construction & Engineering Co., Ltd
Address: #336, Street Vichealay, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh
Tel: 077 234 566, 070 999 484
Tel: (855)23 43 2003, (855)23 43 2005
Email: sothy@sce.com.kh, Website: www.sce.com.kh

Attractive salary and benefits will be offered
Only short-list candidates will be contacte..."
Sales Manager,Publish Date：Sep-01-2022,Closing Date：Sep-11-2022,Middle,1,2,$500-$999,Male/Female,Age Unlimited,Full Time,Medical/Health/Nursing,Medical/Pharmaceutical,Associate Degree,English-- Good,Phnom Penh,"Requirements:successful experience in sales from 1 year.high stress tolerance, perseverance, willingness to work and get more than others.possession of negotiation skills on the classical stages of sales.work experience with medical equipment and medical education are not required.Conditions:progressive system of remuneration (salary + monthly bonuses based on the results of personal sales).the ability to determine the level of income only by the level of your dedication.a high and achievable sales plan with maximum personal effort.official employment.If you are focused on results and independent in your work - leave your response to our vacancy!"
Operation Manager,Publish Date：Sep-02-2022,Closing Date：Oct-02-2022,Top,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Management,Hotel/Hospitality,Bachelor Degree,English-- Good,Phnom Penh,"- Bachelor degree in General Management, Human Resource Management or other related fields
- At least 3-years’ experience working in operations management
- Nice attitude with management skill
- Good interpersonal and communication skill
- Good command of problem-solving and staff management skill
- Able to use Microsoft Office, Internet, and E-mail
- Well organized, honest and highly committed to a long-term career with the company
- Flexible working time based on business needed"
Admin & HR Supervisor (Recruitment &Training Supervisor),Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Entry Level,3,~,Negotiable,Male/Female,Age Unlimited,Full Time,Administration,General Business Services,Bachelor Degree,English-- Good,Phnom Penh," SKILLS AND EXPERIENCES:
 3-4 years experiences in recruitment and training field
 Bachelor degree in related field
 Good in Microsoft office
 Good interpersonal and communication skill
 Good in presentation skill
 Good in English both speaking and written.

 Working Days and Hours:
 Monday to Half Sunday
 Working hour: From 8:00 am to 5:30 pm (Break 1 hour)
 Salary and Benefit:
 Salary (Based on experience)
 Uniform
 Insurance covered
 External Training
 Internal Training
 Annual bonus
 Seniority Pay
 18 Days Annual Leave
 Sick Leave
 Hospitalization Leave
 Public Holiday (Follow MoLVT)

Please send your CVs (with photo) and cover letter before October 9 th , 2022 to:
Mr. Chhun Roathy
E-Mail : recruitment@LSHcam.com
Tel : 015 333 759 / 017 875 478 /093 42 92 40
Telegram : 015 333 759
Website : www.lshcambodia.com
Only short-listed applicants will be contacted for interview."
Shipping Assistant,Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Entry Level,1,~,Negotiable,Male/Female,Age Unlimited,Full Time,Logistics/Shipping/Deliver/Warehouse,Food & Beverages,Bachelor Degree,English-- Good,Phnom Penh,"Requirement:
 University or fresh graduated
 1 year working experiences in logistic or shipping is a plus
 ACCA or CAT is a plus
 Good command of English and computer
 Male or Female;

Working day
 Monday-Half Saturday
 Lunch time (12.00 -13.00)
Salary and Benefit:
 Salary negotiable based on experience
 Uniform
 Internal Training
 External Training
 Insurance covered
 Annual bonus
 Seniority Pay
 18 Days Annual Leave
 Sick Leave
 Hospitalization Leave
 Public Holiday (Follow MoLVT)

Please send your CV (with photo) and cover letter by October 9 th , 2022
 E-Mail : recruitment@lshcam.com
 Tel : 015 333 759 / 017 875 478 /093 42 92 40
 Telegram : 015 333 759
 Website : www.lshcambodia.com
We regret that only short-listed applicants will be contacted for interview."
Sale Executive,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Information Technology,Bachelor Degree,English-- Good Chinese-Mandarin-- Good Khmer-- Good,Phnom Penh,"•Khmer male or female
•High school, college graduate (preferred)
•Chinese, English and Khmer language (Medium)
•Computer (Chinese, Khmer, English typing; Word, Excel, etc.)
•Unlimited experience
•Strong sense of responsibility, able to bear hardships and stand hard 
work
•18-30 Old"
"Sales Executive ($1,000 income) + High Bonus",Publish Date：Aug-22-2022,Closing Date：Sep-21-2022,Middle,1,4,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Health/Personal Care,No limitations,~,Phnom Penh,
Assistant Manager,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Assistant/Secretary,Information Technology,Bachelor Degree,Chinese-Mandarin-- Good English-- Good Khmer-- Good,Preah Sihanouk,"• Chinese, English and Khmer language (Medium)
• Computer (Chinese, Khmer, English typing;
Word, Excel, etc.)
• Unlimited experience
• Strong sense of responsibility, able to bear
hardships and stand hard work
• 18-30 Old"
Data Management Specialist,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Management,Information Technology,Bachelor Degree,Chinese-Mandarin-- Good Khmer-- Good English-- Good,Koh Kong,"• Khmer male
• Chinese, English and Khmer language
• College degree or above, file management,
engineering management and related majors
• More than 1 year working experience in weak
current communication and engineering data
management experience in construction units,
design institutes and other related units are
preferred
• Good communication, expression and
organization and coordination skills, familiar with
operating various office software
• Ability to work shifts, weekends and public
holidays
• 18-30 Old"
Programmer,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,IT,Information Technology,Bachelor Degree,English-- Good Chinese-Mandarin-- Good Khmer-- Good,Phnom Penh,"• Khmer male or female
• Degree in Computer Science or Computational
Programming
• Chinese, English, Khmer language
• Have more than 2 years of experience in the
development of financial software or similar
management software, and be able to
independently develop and maintain software
• Able to work shifts, weekends and public
holidays
• 18-30 years old"
Electrician,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Technician/Maintenance,Information Technology,Bachelor Degree,English-- Good Chinese-Mandarin-- Good,Phnom Penh,"•Khmer male or female
•High school, college graduate (preferred)
•Chinese and Khmer language (Medium)
•Have Electrician Certificate
•More than 1 year Electrical experience
•Ability to work shifts, weekends and public holidays"
Maintenance,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Middle,2,1,Negotiable,Male,Age Unlimited,Full Time,Technician/Maintenance,Information Technology,High School,Khmer-- Good,Bavet，Kampong Cham，Phnom Penh，Preah Sihanouk，Pursat,"• Khmer male
• High school, college graduate (preferred)
• Chinese & Khmer language
• More than 2 years relevant work experience
• Ability to work shifts, weekends and public
holidays"
Engineer Translation,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Middle,1,1,Negotiable,Male,Age Unlimited,Full Time,Architecture/Engineering,Information Technology,Bachelor Degree,English-- Good,Koh Kong,"• Khmer male
• Chinese, English and Khmer language
• Computer (Chinese, Khmer, English typing;
Word, Excel, etc.)
• Bachelor degree or above, major in engineering
or foreign language
• More than 1year translation experience or
experience in power plant project participation
• Serious and meticulous work, thinking, strong sense of responsibility, able to bear hardships and
stand hard work
• Ability to work shifts, weekends and public
holidays
• 18-30 Old"
Network Engineer,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,IT,Information Technology,Bachelor Degree,English-- Good Chinese-Mandarin-- Good Khmer-- Good,Bavet，Kampong Cham，Phnom Penh，Preah Sihanouk，Pursat,"•Khmer male or female
•Bachelor degree of information technology or relate field,Cisco certificate ,Huawei 
certificate Routing, switch
•English,Khmer,Chinese language (Chinese Language preferred)
•Unlimited experience
•Ability to work shifts, weekends and public holidays
•18-30 Old"
Senior Marketing,Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Entry Level,1,1,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Information Technology,Bachelor Degree,English-- Good Khmer-- Good Chinese-Mandarin-- Good,Phnom Penh,"• Khmer male or female
• Chinese & English ， Khmer language
• Bachelor’s degree in marketing, business
administration or related field; MBA preferred
• Good organizational and planning skills
• More than 1 years relevant work experience"
បគ្គលិកផ្នែក Beauty Therapist / Nurse (‼️ URGENT/ បន្ទាន់‼️),Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Medical/Health/Nursing,Cosmetics & Beauty,High School,English-- Good,Phnom Penh,
បគ្គលិកផ្នែក Beauty Consultant / Sales ‼️ URGENT/ បន្ទាន់‼️,Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Entry Level,~,~,Negotiable,Male/Female,18 ~ 30,Full Time,Sales,Cosmetics & Beauty,High School,English-- Good,Phnom Penh,
IE Manager,Publish Date：Sep-05-2022,Closing Date：Sep-15-2022,Middle,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Management,Manufacturing,Bachelor Degree,English-- Good Chinese-Mandarin-- Good,Kampot,"- Good written, verbal, or graphic representations for relevant parties.
- Team management and conflict alternation.
- Change management skills.
- Project management skills.
- Decision making skills.
- High-level English proficiency."
Technical Manager,Publish Date：Sep-05-2022,Closing Date：Sep-15-2022,Middle,2,~,Negotiable,Male/Female,Age Unlimited,Full Time,Management,Manufacturing,Bachelor Degree,English-- Good Chinese-Mandarin-- Good,Kampot,"- Proficient in English, speaking/reading/writing
- Effective, positive and energetic attitude
- Ability to communicate clearly - Decent presentations skills
- Team-orientated and ability to coach the team
- Strong leadership skills
- Action-oriented, persistent and result oriented
- Solid organizing skills"
Regional Sales Manager,Publish Date：Sep-07-2022,Closing Date：Sep-16-2022,Top,5,2,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Automotive - Vehicle,Bachelor Degree,English-- Good,Phnom Penh,"•Bachelor degree level in Business Management or related fields, especially Agriculture business
•Minimum of 4 years of experiences in Sales or related field
•Record in successfully running Sales Dept. or related field
•Have good knowledge in Agriculture and/or Heavy equipment
•Ability to lead, training, and coach subordinate well 
•Listening, Understanding and Responding
•Mentoring, Coaching & Performance Management 
•Knowledge of business Environment
•Achievement
•Excellent written and verbal communication skills
•Excellent presentation and facilitation skills
•A person of good character – someone in whom the owner/manager can place full trust and confidence
•Ability to use MS office applications – Power Point, Word, Excel & Outlook
•Ability to build relationships with internal and external partners
•Excellent organization skills – able to prioritize 

How to apply?
Interested candidates are invited to submit your updated curriculum vita recruitment.kh@rmagroup.net or may also contact us on Tel: 092 88..."
"Learning and Development Officer ( to be based at Ford Factory, Pursat)",Publish Date：Sep-07-2022,Closing Date：Sep-16-2022,Middle,2,~,Negotiable,Male/Female,20 ~ 35,Full Time,Education/Training,Automotive - Vehicle,Bachelor Degree,English-- Good,Pursat,"-At least bachelor degree in business administration or in English education
-Certificates of processing training"
Sale and Operation Admin/ Sale Consultant/ Accountant Payable,Publish Date：Sep-01-2022,Closing Date：Sep-21-2022,~,~,3,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"** Sale and Operation Admin
- Bachelor degree in business administration and other relevant skill
 (College students or graduated students)
- 1 or more years of working experiences is an advantage
- Computer literacy in MS Office
- Strong attention to detail and good at organization skills
- Can use English
- Good negotiation skills, interpersonal skills, problem solving skills
- Be friendly, flexible, honestly, hard-working, and be able to work under the pressure

** Sale Consultant
- មានឆន្ទះក្នុងការរៀនសូត្រ
-មានបទពិសោធន៍ផ្នែកលក់
-មានជំនាញទំនាក់ទំនង ពន្យល់ ក៏ដូចជាជំនាញក្នុងការធ្វើបទបង្ហាញ
-មានសម្ថភាពក្នុងការចរចា និងសម្ថភាពក្នុងការដោះស្រាយបញ្ហា
-មានចំណេះដឹងកុំព្យូទ័រ Ms Office (Word, Excel, Power point)
-អាចប្រប្រាស់បណ្តាញសង្គម (Facebook page, Telegram, …)
-មានភាពរួយរាយរាក់ទាក់ ស្មោះត្រង់ ឧស្សាហ៍ព្យាយាម និងអាចធ្វើការក្រោមសំពាធបាន

** អត្ថប្រយោជន៍បន្ថែម
-ទទួលបានកំរៃជើងសារទូទៅប្រចាំខែ កំរៃជើងសារបន្ថែមប្រចាំខែ និងកំរៃជើងសារជាក្រុមរហូតដល់ USD15,000

** Accountant Payable
- Bachelor degree in accounting/financ..."
Sales Outdoor (Many Positions),Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,General Business Services,High School,English-- Fair,Phnom Penh,"- High school and above;
- Be able to speak English and Chinese
- Computer literacy (Microsoft Office)
- Preferable with experience in selling, promotion and marketing of Food Product;
- Be able to work under pressure;
- Has good interpersonal skills;
- Good time management and planning skill;
- Be able to use initiative and independent;
- At least one to two years in Sale and Marketing especially in Retail Sale;
- Female are encouraged to apply;

 Working Days and Hours:
 Monday to Half Saturday
 Working hour: From 8:00 am to 5:30 pm (Break 1 hour);
 Salary and Benefit:
 Salary (Based on experience)
 Uniform
 Gasoline allowance
 Phone card allowance
 Insurance covered
 External Training
 Internal Training
 Annual bonus
 Seniority Pay
 18 Days Annual Leave
 Sick Leave
 Hospitalization Leave
 Public Holiday (Follow MoLVT)
Please send your CVs (with photo) and cover letter before October 9 th , 2022 to:
Mr. Chhun Roathy
E-Mail : recruitment@LSHcam.com
Tel : 015 333 759 / 017 875 478 /093 42 ..."
Finance Executive / Account Executive,Publish Date：Sep-02-2022,Closing Date：Sep-12-2022,Middle,2,1,$200-$500,Male/Female,18 ~ 35,Full Time,Accounting,Information Technology,Associate Degree,English-- Good,Phnom Penh,"- Bachelor in Finance or Accounting, Business Management, or any other related field.- 2 to 5 years of experience in Finance, Accounting, or Banking.- Good in figure analysis and data interpretation.- Good in QuickBooks and Microsoft Office.- Good in English or other languages."
Inbound Tour Operator (English 2 Pax):,Publish Date：Sep-05-2022,Closing Date：Oct-05-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Travel Agent/Ticket Sales,Tourism,Bachelor Degree,English-- Good,Siem Reap,"To Apply:
Please send your CV and cover letter to below mail
lincoln@indochinatour.com
and CC to Sale@indochinatour.com"
Travel Consultant (B2C Sales),Publish Date：Sep-05-2022,Closing Date：Oct-05-2022,Entry Level,~,2,Negotiable,Male/Female,Age Unlimited,Full Time,Travel Agent/Ticket Sales,Tourism,Bachelor Degree,English-- Good,Siem Reap,#ERROR!
